# bin_centers,CoVs,smoothed_CoVs,FAPs
5.940790899616357734e+01,1.049689761850312708e+00,1.037496910134713568e+00,1.102849972113775889e+00
6.041617942626658788e+01,1.030253347069029157e+00,1.037037282946524641e+00,1.102578918014500919e+00
6.143749769445101094e+01,1.037758418111373038e+00,1.037577230423005759e+00,1.102307863915225949e+00
6.247198036394603804e+01,1.063891980728356446e+00,1.039135894804389615e+00,1.102036809815950980e+00
6.351974457455788325e+01,1.083353631622599345e+00,1.039744070853412916e+00,1.101765755716676010e+00
6.458090804322934275e+01,1.051010067558890482e+00,1.039321378249832284e+00,1.101479643056330282e+00
6.565558906459763477e+01,1.064561408007078436e+00,1.038763207094486773e+00,1.101208588957055312e+00
6.674390651155053433e+01,1.059809424946097645e+00,1.039941448219918296e+00,1.100922476296709585e+00
6.784597983578082392e+01,1.068388338182278741e+00,1.041129660074596730e+00,1.100651422197434615e+00
6.896192906833904601e+01,1.071703644259225596e+00,1.041621649429206320e+00,1.100365309537088665e+00
7.009187482018455739e+01,1.064660795225964574e+00,1.041362842411447609e+00,1.100079196876742937e+00
7.123593828273497763e+01,1.060167767221005697e+00,1.040966647340042073e+00,1.099793084216397210e+00
7.239424122841393228e+01,1.044857404525461497e+00,1.040331509382830255e+00,1.099506971556051482e+00
7.356690601119716177e+01,1.072220078349730876e+00,1.037847033228758376e+00,1.099205800334634775e+00
7.475405556715706723e+01,1.051346347640794709e+00,1.035593802381213013e+00,1.098904629113218068e+00
7.595581341500552242e+01,1.020680122980956783e+00,1.034323883932569021e+00,1.098603457891801582e+00
7.717230365663520786e+01,1.006937984887263271e+00,1.032373067874606809e+00,1.098302286670384875e+00
7.840365097765922542e+01,1.001254931264246029e+00,1.029743686801801950e+00,1.098001115448968390e+00
7.964998064794924915e+01,9.955932397664781774e-01,1.026015955590359852e+00,1.097684885666480925e+00
8.091141852217198505e+01,9.947189275559988886e-01,1.024375934047862868e+00,1.097368655883993460e+00
8.218809104032416712e+01,1.011076394073777918e+00,1.022686242245211208e+00,1.097052426101505995e+00
8.348012522826593340e+01,1.009156365047792825e+00,1.021371142341255922e+00,1.096751254880089288e+00
8.478764869825269557e+01,1.010404418181108710e+00,1.019880718562133692e+00,1.096419966536531065e+00
8.611078964946545966e+01,1.014739672456241859e+00,1.018119867531744438e+00,1.096088678192972843e+00
8.744967686853962618e+01,1.007941359206899312e+00,1.017172352093981713e+00,1.095772448410485378e+00
8.880443973009226966e+01,9.933589906616758780e-01,1.015236234421353023e+00,1.095441160066926933e+00
9.017520819724794023e+01,9.985053858529252535e-01,1.013704361878914328e+00,1.095124930284439468e+00
9.156211282216295899e+01,9.889880166623179480e-01,1.010879130715762741e+00,1.094793641940881246e+00
9.296528474654820684e+01,9.981574539082398445e-01,1.009315679599918303e+00,1.094462353597323023e+00
9.438485570219050658e+01,9.901603513365417886e-01,1.008968969491151224e+00,1.094116006692693821e+00
9.582095801147244174e+01,1.010009528996465455e+00,1.008718353957007707e+00,1.093769659788064841e+00
9.727372458789081122e+01,1.022319112940791808e+00,1.008775563773434358e+00,1.093438371444506396e+00
9.874328893657362016e+01,1.026931927347214835e+00,1.009312768378425096e+00,1.093092024539877416e+00
1.002297851547955645e+02,1.031127743704223221e+00,1.009886595189240843e+00,1.092730619074177456e+00
1.017333479324921797e+02,1.027682368499494459e+00,1.011117853656502419e+00,1.092384272169548254e+00
1.032541125527725399e+02,1.040972909281895786e+00,1.012337268532523593e+00,1.092037925264919274e+00
1.047922148924305219e+02,1.011764825405286450e+00,1.013988407143455728e+00,1.091676519799219314e+00
1.063477914224547050e+02,1.006560590964495905e+00,1.015468833834221263e+00,1.091330172894590111e+00
1.079209792085368775e+02,1.001589299270944311e+00,1.017830741320710608e+00,1.090953708867819394e+00
1.095119159115791234e+02,1.012260069744679747e+00,1.018218589163088161e+00,1.090592303402119434e+00
1.111207397881995576e+02,1.012012370261780259e+00,1.017500040586073684e+00,1.090215839375348716e+00
